Course Subject,Course Catalog Code,Class Section Code,Enrollment Capacity,Start Time,End Time,Mon,Tue,Wed,Thu,Fri,Sat,SUN
COMM,201,1,50,08:00,09:15,N,Y,N,Y,N,N,N
COMM,201,2,50,09:30,10:45,N,Y,N,Y,N,N,N
COMM,201,3,50,11:00,12:15,N,Y,N,Y,N,N,N
COMM,251,1,50,08:00,09:15,N,Y,N,Y,N,N,N
COMM,251,2,50,09:30,10:45,N,Y,N,Y,N,N,N
COMM,251,3,50,11:00,12:15,N,Y,N,Y,N,N,N
CPET,101,1,40,08:00,09:15,N,Y,N,Y,N,N,N
CPET,101,2,40,09:30,10:45,N,Y,N,Y,N,N,N
CPET,201,1,40,08:00,09:15,N,Y,N,Y,N,N,N
CPET,201,2,40,09:30,10:45,N,Y,N,Y,N,N,N
CRJS,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
CRJS,101,2,50,09:30,10:45,N,Y,N,Y,N,N,N
CRJS,101,3,50,11:00,12:15,N,Y,N,Y,N,N,N
CRJS,201,1,50,08:00,09:15,N,Y,N,Y,N,N,N
CRJS,201,2,50,09:30,10:45,N,Y,N,Y,N,N,N
CRJS,201,3,50,11:00,12:15,N,Y,N,Y,N,N,N
CRJS,301,1,50,08:00,09:15,N,Y,N,Y,N,N,N
CRJS,301,2,50,09:30,10:45,N,Y,N,Y,N,N,N
CRJS,301,3,50,11:00,12:15,N,Y,N,Y,N,N,N
CSCI,140,1,40,08:00,08:50,Y,N,Y,N,Y,N,N
CSCI,140,2,40,09:00,09:50,Y,N,Y,N,Y,N,N
CSCI,140,3,40,10:00,10:50,Y,N,Y,N,Y,N,N
CSCI,140,4,40,11:00,11:50,Y,N,Y,N,Y,N,N
CSCI,140,5,40,12:00,12:50,Y,N,Y,N,Y,N,N
CSCI,140,6,40,13:00,13:50,Y,N,Y,N,Y,N,N
CSCI,140,7,40,14:00,14:50,Y,N,Y,N,Y,N,N
CSCI,141,1,40,08:00,08:50,Y,N,Y,N,Y,N,N
CSCI,141,2,40,09:00,09:50,Y,N,Y,N,Y,N,N
CSCI,141,3,40,10:00,10:50,Y,N,Y,N,Y,N,N
CSCI,141,4,40,11:00,11:50,Y,N,Y,N,Y,N,N
CSCI,141,5,40,12:00,12:50,Y,N,Y,N,Y,N,N
CSCI,141,6,40,13:00,13:50,Y,N,Y,N,Y,N,N
CSCI,141,7,40,14:00,14:50,Y,N,Y,N,Y,N,N
CSCI,141,8,40,15:00,15:50,Y,N,Y,N,Y,N,N
CSCI,141,9,40,16:00,16:50,Y,N,Y,N,Y,N,N
CSCI,141,10,40,08:00,08:50,Y,N,Y,N,Y,N,N
CSCI,141,11,40,09:00,09:50,Y,N,Y,N,Y,N,N
CSCI,141,12,40,10:00,10:50,Y,N,Y,N,Y,N,N
CSCI,141,13,40,11:00,11:50,Y,N,Y,N,Y,N,N
CSCI,141,14,40,12:00,12:50,Y,N,Y,N,Y,N,N
CSCI,141,15,40,13:00,13:50,Y,N,Y,N,Y,N,N
CSCI,141,16,40,14:00,14:50,Y,N,Y,N,Y,N,N
CSCI,141,17,40,15:00,15:50,Y,N,Y,N,Y,N,N
CSCI,141,18,40,16:00,16:50,Y,N,Y,N,Y,N,N
CSCI,141,19,40,08:00,08:50,Y,N,Y,N,Y,N,N
CSCI,141,20,40,09:00,09:50,Y,N,Y,N,Y,N,N
CSCI,141,21,40,10:00,10:50,Y,N,Y,N,Y,N,N
CSCI,141,22,40,11:00,11:50,Y,N,Y,N,Y,N,N
CSCI,141,23,40,12:00,12:50,Y,N,Y,N,Y,N,N
CSCI,141,24,40,13:00,13:50,Y,N,Y,N,Y,N,N
CSCI,141,25,40,14:00,14:50,Y,N,Y,N,Y,N,N
CSCI,141,26,40,15:00,15:50,Y,N,Y,N,Y,N,N
CSCI,142,1,40,08:00,08:50,Y,N,Y,N,Y,N,N
CSCI,142,2,40,09:00,09:50,Y,N,Y,N,Y,N,N
CSCI,142,3,40,10:00,10:50,Y,N,Y,N,Y,N,N
CSCI,142,4,40,11:00,11:50,Y,N,Y,N,Y,N,N
CSCI,142,5,40,12:00,12:50,Y,N,Y,N,Y,N,N
CSCI,142,6,40,13:00,13:50,Y,N,Y,N,Y,N,N
CSCI,142,7,40,14:00,14:50,Y,N,Y,N,Y,N,N
CSCI,142,8,40,15:00,15:50,Y,N,Y,N,Y,N,N
CSCI,142,9,40,16:00,16:50,Y,N,Y,N,Y,N,N
CSCI,142,10,40,08:00,08:50,Y,N,Y,N,Y,N,N
CSCI,142,11,40,09:00,09:50,Y,N,Y,N,Y,N,N
CSCI,142,12,40,10:00,10:50,Y,N,Y,N,Y,N,N
CSCI,243,1,40,08:00,08:50,Y,N,Y,N,Y,N,N
CSCI,243,2,40,09:00,09:50,Y,N,Y,N,Y,N,N
CSCI,243,3,40,10:00,10:50,Y,N,Y,N,Y,N,N
CSCI,243,4,40,11:00,11:50,Y,N,Y,N,Y,N,N
CSCI,243,5,40,12:00,12:50,Y,N,Y,N,Y,N,N
DMS,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
DMS,201,1,35,08:00,09:15,N,Y,N,Y,N,N,N
DMS,201,2,35,09:30,10:45,N,Y,N,Y,N,N,N
DMS,201,3,35,14:00,15:15,Y,N,Y,N,Y,N,N
ECON,201,1,50,08:00,09:15,N,Y,N,Y,N,N,N
ECON,201,2,50,09:30,10:45,N,Y,N,Y,N,N,N
ECON,202,1,50,08:00,09:15,N,Y,N,Y,N,N,N
ECON,202,2,50,09:30,10:45,N,Y,N,Y,N,N,N
EEEE,120,1,50,08:00,08:50,Y,N,Y,N,Y,N,N
EEEE,120,2,50,09:00,09:50,Y,N,Y,N,Y,N,N
EEEE,120,3,50,10:00,10:50,Y,N,Y,N,Y,N,N
EEEE,120,4,50,11:00,11:50,Y,N,Y,N,Y,N,N
EEEE,120,5,50,12:00,12:50,Y,N,Y,N,Y,N,N
EEEE,120,6,50,13:00,13:50,Y,N,Y,N,Y,N,N
EEEE,120,7,50,14:00,14:50,Y,N,Y,N,Y,N,N
EEEE,132,1,36,08:00,08:50,Y,N,Y,N,Y,N,N
EEEE,132,2,36,09:00,09:50,Y,N,Y,N,Y,N,N
EEEE,132,3,36,10:00,10:50,Y,N,Y,N,Y,N,N
EEEE,132,4,36,11:00,11:50,Y,N,Y,N,Y,N,N
EEEE,132,5,36,14:00,14:50,Y,N,Y,N,Y,N,N
EEEE,233,1,36,08:00,08:50,Y,N,Y,N,Y,N,N
EEEE,233,2,36,09:00,09:50,Y,N,Y,N,Y,N,N
EEEE,233,3,36,10:00,10:50,Y,N,Y,N,Y,N,N
EEEE,233,4,36,11:00,11:50,Y,N,Y,N,Y,N,N
EEEE,233,5,36,15:00,15:50,Y,N,Y,N,Y,N,N
EEET,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
EEET,101,2,50,09:30,10:45,N,Y,N,Y,N,N,N
EEET,201,1,35,08:00,09:15,N,Y,N,Y,N,N,N
EEET,201,2,35,09:30,10:45,N,Y,N,Y,N,N,N
ENGL,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
ENGL,101,2,50,11:00,12:15,Y,N,Y,N,Y,N,N
ENGL,201,1,35,08:00,09:15,N,Y,N,Y,N,N,N
ENGL,201,2,35,09:30,10:45,N,Y,N,Y,N,N,N
ENGL,201,3,40,14:00,15:15,Y,N,Y,N,Y,N,N
ENGL,301,1,35,08:00,09:15,N,Y,N,Y,N,N,N
ENGL,301,2,35,09:30,10:45,N,Y,N,Y,N,N,N
ENGL,301,3,40,11:00,12:15,Y,N,Y,N,Y,N,N
ENVS,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
ENVS,101,2,50,09:30,10:45,N,Y,N,Y,N,N,N
ENVS,201,1,35,08:00,09:15,N,Y,N,Y,N,N,N
ENVS,201,2,35,09:30,10:45,N,Y,N,Y,N,N,N
ESHS,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
ESHS,101,2,50,09:30,10:45,N,Y,N,Y,N,N,N
ESHS,201,1,35,08:00,09:15,N,Y,N,Y,N,N,N
ESHS,201,2,35,09:30,10:45,N,Y,N,Y,N,N,N
EXSC,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
EXSC,101,2,50,09:30,10:45,N,Y,N,Y,N,N,N
EXSC,101,3,50,11:00,12:15,N,Y,N,Y,N,N,N
EXSC,201,1,35,08:00,09:15,N,Y,N,Y,N,N,N
EXSC,201,2,35,09:30,10:45,N,Y,N,Y,N,N,N
EXSC,201,3,35,11:00,12:15,N,Y,N,Y,N,N,N
EXSC,201,4,35,12:30,13:45,N,Y,N,Y,N,N,N
FINC,220,1,45,08:00,09:15,N,Y,N,Y,N,N,N
FINC,220,2,45,09:30,10:45,N,Y,N,Y,N,N,N
FINC,220,3,45,11:00,12:15,N,Y,N,Y,N,N,N
FINC,310,1,45,08:00,09:15,N,Y,N,Y,N,N,N
FINC,310,2,45,09:30,10:45,N,Y,N,Y,N,N,N
FINC,310,3,45,11:00,12:15,N,Y,N,Y,N,N,N
GBSM,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
GBSM,101,2,50,09:30,10:45,N,Y,N,Y,N,N,N
GBSM,201,1,45,08:00,09:15,N,Y,N,Y,N,N,N
GBSM,201,2,45,09:30,10:45,N,Y,N,Y,N,N,N
GLFUT,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
GLFUT,201,1,35,09:30,10:45,N,Y,N,Y,N,N,N
GPHL,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
GPHL,101,2,50,09:30,10:45,N,Y,N,Y,N,N,N
GPHL,201,1,35,08:00,09:15,N,Y,N,Y,N,N,N
GPHL,201,2,35,09:30,10:45,N,Y,N,Y,N,N,N
HCIN,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
HCIN,101,2,50,09:30,10:45,N,Y,N,Y,N,N,N
HCIN,201,1,35,08:00,09:15,N,Y,N,Y,N,N,N
HCIN,201,2,35,09:30,10:45,N,Y,N,Y,N,N,N
HCIN,201,3,35,11:00,12:15,N,Y,N,Y,N,N,N
HCMD,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
HCMD,101,2,40,11:00,12:15,Y,N,Y,N,Y,N,N
HCMD,201,1,35,08:00,09:15,N,Y,N,Y,N,N,N
HCMD,201,2,35,09:30,10:45,N,Y,N,Y,N,N,N
HCMD,201,3,40,14:00,15:15,Y,N,Y,N,Y,N,N
HIST,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
HIST,101,2,50,09:30,10:45,N,Y,N,Y,N,N,N
HIST,101,3,50,11:00,12:15,Y,N,Y,N,Y,N,N
HIST,102,1,24,08:00,09:15,N,Y,N,Y,N,N,N
HIST,102,2,24,09:30,10:45,N,Y,N,Y,N,N,N
HIST,102,3,50,14:00,15:15,Y,N,Y,N,Y,N,N
HIST,201,1,50,08:00,09:15,N,Y,N,Y,N,N,N
HIST,201,2,35,11:00,12:15,Y,N,Y,N,Y,N,N
HTMG,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
HTMG,101,2,50,09:30,10:45,N,Y,N,Y,N,N,N
HTMG,201,1,45,08:00,09:15,N,Y,N,Y,N,N,N
HTMG,201,2,45,09:30,10:45,N,Y,N,Y,N,N,N
IGME,105,1,40,08:00,08:50,Y,N,Y,N,Y,N,N
IGME,105,2,40,09:00,09:50,Y,N,Y,N,Y,N,N
IGME,105,3,40,10:00,10:50,Y,N,Y,N,Y,N,N
IGME,105,4,40,11:00,11:50,Y,N,Y,N,Y,N,N
IGME,105,5,40,12:00,12:50,Y,N,Y,N,Y,N,N
IGME,106,1,40,08:00,08:50,Y,N,Y,N,Y,N,N
IGME,106,2,40,09:00,09:50,Y,N,Y,N,Y,N,N
IGME,106,3,40,10:00,10:50,Y,N,Y,N,Y,N,N
IGME,106,4,40,11:00,11:50,Y,N,Y,N,Y,N,N
IGME,106,5,40,12:00,12:50,Y,N,Y,N,Y,N,N
IGME,202,1,40,08:00,08:50,Y,N,Y,N,Y,N,N
IGME,202,2,40,09:00,09:50,Y,N,Y,N,Y,N,N
IGME,202,3,40,10:00,10:50,Y,N,Y,N,Y,N,N
IGME,202,4,40,11:00,11:50,Y,N,Y,N,Y,N,N
IGME,202,5,40,12:00,12:50,Y,N,Y,N,Y,N,N
IMGS,111,1,50,08:00,09:15,N,Y,N,Y,N,N,N
IMGS,111,2,40,11:00,12:15,Y,N,Y,N,Y,N,N
IMGS,201,1,35,08:00,09:15,N,Y,N,Y,N,N,N
IMGS,201,2,35,09:30,10:45,N,Y,N,Y,N,N,N
IMGS,201,3,40,14:00,15:15,Y,N,Y,N,Y,N,N
INDS,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
INDS,101,2,40,11:00,12:15,Y,N,Y,N,Y,N,N
INDS,201,1,35,08:00,09:15,N,Y,N,Y,N,N,N
INDS,201,2,35,09:30,10:45,N,Y,N,Y,N,N,N
INDS,201,3,40,14:00,15:15,Y,N,Y,N,Y,N,N
INTL,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
INTL,101,2,45,11:00,12:15,Y,N,Y,N,Y,N,N
INTL,201,1,35,08:00,09:15,N,Y,N,Y,N,N,N
INTL,201,2,35,09:30,10:45,N,Y,N,Y,N,N,N
INTL,201,3,45,14:00,15:15,Y,N,Y,N,Y,N,N
ISEE,201,1,36,08:00,09:15,N,Y,N,Y,N,N,N
ISEE,201,2,36,09:30,10:45,N,Y,N,Y,N,N,N
ISEE,201,3,36,11:00,12:15,N,Y,N,Y,N,N,N
ISEE,201,4,36,14:00,15:15,N,Y,N,Y,N,N,N
ISEE,301,1,36,08:00,09:15,N,Y,N,Y,N,N,N
ISEE,301,2,36,09:30,10:45,N,Y,N,Y,N,N,N
ISEE,301,3,36,11:00,12:15,N,Y,N,Y,N,N,N
ISEE,301,4,36,15:30,16:45,N,Y,N,Y,N,N,N
ISTE,120,1,40,08:00,08:50,Y,N,Y,N,Y,N,N
ISTE,120,2,40,09:00,09:50,Y,N,Y,N,Y,N,N
ISTE,120,3,40,10:00,10:50,Y,N,Y,N,Y,N,N
ISTE,120,4,40,11:00,11:50,Y,N,Y,N,Y,N,N
ISTE,120,5,40,12:00,12:50,Y,N,Y,N,Y,N,N
ISTE,120,6,40,13:00,13:50,Y,N,Y,N,Y,N,N
ISTE,120,7,40,14:00,14:50,Y,N,Y,N,Y,N,N
ISTE,120,8,40,15:00,15:50,Y,N,Y,N,Y,N,N
ISTE,121,1,40,08:00,08:50,Y,N,Y,N,Y,N,N
ISTE,121,2,40,09:00,09:50,Y,N,Y,N,Y,N,N
ISTE,121,3,40,10:00,10:50,Y,N,Y,N,Y,N,N
ISTE,121,4,40,11:00,11:50,Y,N,Y,N,Y,N,N
ISTE,230,1,40,08:00,08:50,Y,N,Y,N,Y,N,N
ISTE,230,2,40,09:00,09:50,Y,N,Y,N,Y,N,N
ISTE,230,3,40,10:00,10:50,Y,N,Y,N,Y,N,N
ISTE,230,4,40,11:00,11:50,Y,N,Y,N,Y,N,N
ISTE,230,5,40,12:00,12:50,Y,N,Y,N,Y,N,N
ISTE,230,6,40,13:00,13:50,Y,N,Y,N,Y,N,N
ISTE,230,7,40,14:00,14:50,Y,N,Y,N,Y,N,N
ISTE,230,8,40,14:00,14:50,Y,N,Y,N,Y,N,N
MATH,161,1,35,08:00,09:15,N,Y,N,Y,N,N,N
MATH,161,2,35,09:30,10:45,N,Y,N,Y,N,N,N
MATH,161,3,35,11:00,12:15,N,Y,N,Y,N,N,N
MATH,161,4,35,12:30,13:45,N,Y,N,Y,N,N,N
MATH,161,5,35,14:00,15:15,N,Y,N,Y,N,N,N
MATH,161,6,35,15:30,16:45,N,Y,N,Y,N,N,N
MATH,161,7,35,17:00,18:15,N,Y,N,Y,N,N,N
MATH,161,8,35,08:00,09:15,N,N,Y,N,Y,N,N
MATH,161,9,35,09:30,10:45,N,N,Y,N,Y,N,N
MATH,161,10,35,11:00,12:15,N,N,Y,N,Y,N,N
MATH,161,11,35,12:30,13:45,N,N,Y,N,Y,N,N
MATH,161,12,35,14:00,15:15,N,N,Y,N,Y,N,N
MATH,161,13,35,15:30,16:45,N,N,Y,N,Y,N,N
MATH,161,14,35,17:00,18:15,N,N,Y,N,Y,N,N
MATH,161,15,35,08:00,09:15,N,Y,N,Y,N,N,N
MATH,161,16,35,09:30,10:45,N,Y,N,Y,N,N,N
MATH,161,17,35,11:00,12:15,N,Y,N,Y,N,N,N
MATH,161,18,35,12:30,13:45,N,Y,N,Y,N,N,N
MATH,161,19,35,14:00,15:15,N,Y,N,Y,N,N,N
MATH,161,20,35,15:30,16:45,N,Y,N,Y,N,N,N
MATH,161,21,35,17:00,18:15,N,Y,N,Y,N,N,N
MATH,161,22,35,08:00,09:15,N,N,Y,N,Y,N,N
MATH,161,23,35,09:30,10:45,N,N,Y,N,Y,N,N
MATH,161,24,35,11:00,12:15,N,N,Y,N,Y,N,N
MATH,161,25,35,12:30,13:45,N,N,Y,N,Y,N,N
MATH,161,26,35,14:00,15:15,N,N,Y,N,Y,N,N
MATH,161,27,35,15:30,16:45,N,N,Y,N,Y,N,N
MATH,161,28,35,17:00,18:15,N,N,Y,N,Y,N,N
MATH,171,2,35,09:30,10:45,N,Y,N,Y,N,N,N
MATH,171,8,35,08:00,09:15,N,N,Y,N,Y,N,N
MATH,171,11,35,12:30,13:45,N,N,Y,N,Y,N,N
MATH,171,13,35,15:30,16:45,N,N,Y,N,Y,N,N
MATH,181,1,35,08:00,09:15,N,Y,N,Y,N,N,N
MATH,181,2,35,09:30,10:45,N,Y,N,Y,N,N,N
MATH,181,3,45,11:00,12:15,N,Y,N,Y,N,N,N
MATH,181,4,35,12:30,13:45,N,Y,N,Y,N,N,N
MATH,181,5,35,14:00,15:15,N,Y,N,Y,N,N,N
MATH,181,7,35,17:00,18:15,N,Y,N,Y,N,N,N
MATH,181,8,35,08:00,09:15,N,N,Y,N,Y,N,N
MATH,181,11,35,12:30,13:45,N,N,Y,N,Y,N,N
MATH,181,12,35,14:00,15:15,N,N,Y,N,Y,N,N
MATH,181,13,35,15:30,16:45,N,N,Y,N,Y,N,N
MATH,181,14,35,17:00,18:15,N,N,Y,N,Y,N,N
MATH,181,15,35,08:00,09:15,N,Y,N,Y,N,N,N
MATH,181,16,35,09:30,10:45,N,Y,N,Y,N,N,N
MATH,181,17,35,11:00,12:15,N,Y,N,Y,N,N,N
MATH,181,18,35,12:30,13:45,N,Y,N,Y,N,N,N
MATH,181,19,35,14:00,15:15,N,Y,N,Y,N,N,N
MATH,181,20,35,15:30,16:45,N,Y,N,Y,N,N,N
MATH,181,22,35,08:00,09:15,N,N,Y,N,Y,N,N
MATH,181,23,35,09:30,10:45,N,N,Y,N,Y,N,N
MATH,181,24,35,11:00,12:15,N,N,Y,N,Y,N,N
MATH,181,27,35,15:30,16:45,N,N,Y,N,Y,N,N
MATH,181,28,35,17:00,18:15,N,N,Y,N,Y,N,N
MATH,181,29,35,08:00,09:15,N,Y,N,Y,N,N,N
MATH,181,30,35,09:30,10:45,N,Y,N,Y,N,N,N
MATH,181,31,35,11:00,12:15,N,Y,N,Y,N,N,N
MATH,181,32,35,12:30,13:45,N,Y,N,Y,N,N,N
MATH,181,33,35,14:00,15:15,N,Y,N,Y,N,N,N
MATH,181,34,35,15:30,16:45,N,Y,N,Y,N,N,N
